Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
, , , , , , , , ,          15.5,      16.77534, , , , , , , ,          15.5,      18.53932, , , , ,         14.75,      15.99557, ,            15,      12.56335, ,          13.5,      38.94815, ,          13.5,      38.94418, ,         13.25,      27.50343, ,            18,      11.22675, ,         14.75,      50.45439, , , , , , , , , , ,          14.5,      4.395567, ,         19.25,      3.900234, , , , , , , , , , , , , ,         18.75,      13.50537, ,         13.25,      60.52116, ,         13.75,      4.902502, ,            14,      34.60284, ,          15.5,      19.22468, ,         16.25,      9.650855, ,            16,      14.34674, ,         16.25,      3.945755, ,          13.5,      51.01284, ,         13.25,      62.09708, ,          13.5,      54.25037, ,          13.5,      44.83865, ,         13.25,       32.7751, ,          13.5,      23.10412, ,         13.75,      27.85882, ,          13.5,      28.27304, ,         15.75,      3.812461, ,         18.25,      3.598459, , , , ,          13.5,      27.31833, , , , ,          17.5,      4.871829, ,         14.75,      4.417808, ,         17.75,      2.923219, ,         15.25,       3.87242, , , , , 
, , , , , , , , ,         15.75,      15.86996, , , , , , , ,          16.5,      13.56578, , , , ,            15,      15.79326, ,         15.25,      12.53376, ,         13.75,      37.26175, ,         13.75,      37.25276, ,          13.5,      26.59878, ,          18.5,      8.822251, ,            15,      45.93938, , , , , , , , , , ,         14.75,      4.323458, ,          19.5,      3.877265, , , , , , , , , , , , , ,            19,      13.24016, ,          13.5,      59.86452, ,          14.5,      4.476858, ,         14.25,      31.09105, ,         15.75,      17.45826, ,          16.5,      9.042103, ,         16.25,      13.52544, ,          16.5,      3.887871, ,         13.75,      48.84476, ,          13.5,       59.5179, ,         13.75,       52.0804, ,         13.75,      43.38522, ,          13.5,      29.55777, ,         13.75,      22.53122, ,            14,      26.13317, ,         13.75,      25.89218, ,            16,      3.755395, ,          18.5,      3.570189, , , , ,         13.75,      25.40262, , , , ,         17.75,      4.646783, ,            15,      4.393113, ,            18,      2.906729, ,          15.5,      3.821448, , , , , 
, , , , , , , , ,            16,      14.83258, , , , , , , ,            17,      12.11596, , , , ,         15.25,      15.60497, ,          15.5,      12.50354, ,            14,       35.1274, ,            14,      35.11321, ,         13.75,      25.80133, ,         18.75,      8.735353, ,         15.25,      43.18285, , , , , , , , , , ,            15,      4.259066, ,         19.75,      3.798606, , , , , , , , , , , , , ,         19.25,      11.25744, ,         13.75,      58.52315, ,         14.75,      4.456098, ,          14.5,      27.83769, ,            16,      15.82213, ,         16.75,      8.503107, ,          16.5,      12.24205, ,         16.75,      3.834244, ,            14,      46.44466, ,         13.75,      58.05339, ,            14,      49.40666, ,            14,      41.20238, ,         13.75,      26.53094, ,            14,      21.97195, ,         14.25,      24.46635, ,            14,      23.99768, ,         16.25,      3.707191, ,         18.75,      3.543752, , , , ,            14,      23.58666, , , , ,            18,       4.46632, ,         15.25,      4.375086, ,         18.25,      2.891384, ,         15.75,      3.774401, , , , , 
, , , , , , , , ,         16.25,      13.69038, , , , , , , ,          17.5,      9.706286, , , , ,          15.5,      15.41956, ,         15.75,      12.47286, ,         14.25,      32.26128, ,         14.25,      32.24293, ,            14,      24.87941, ,            19,      8.652609, ,          15.5,       40.3917, , , , , , , , , , ,         15.25,      4.197311, , , , , , , , , , , , , , , , ,          19.5,      11.06684, ,            14,      56.55407, ,            15,      4.314252, ,         14.75,      24.58306, ,         16.25,      14.49286, ,            17,      7.993621, ,         16.75,      11.44028, ,            17,       3.77446, ,         14.25,      43.63705, ,            14,      56.28649, ,         14.25,      46.39826, ,         14.25,      39.09033, ,            14,      24.89224, ,         14.25,      21.28403, ,          14.5,      22.72578, ,         14.25,       22.2809, ,          16.5,      3.672477, ,            19,      3.518902, , , , ,         14.25,      21.85811, , , , ,         18.25,      4.328556, ,          15.5,      4.361699, ,          18.5,      2.877068, ,            16,      3.731028, , , , , 
, , , , , , , , , , , , , , , , , ,            18,       8.99501, , , , ,         15.75,      15.22749, ,            16,      12.44027, ,          14.5,      26.76748, ,          14.5,      26.76543, ,         14.25,      23.56796, ,         19.25,      8.571906, ,         15.75,      37.13934, , , , , , , , , , ,          15.5,         4.137, , , , , , , , , , , , , , , , ,         19.75,      10.88469, ,         14.25,      53.78097, ,         15.25,      4.223553, ,            15,      21.52351, ,          16.5,       13.1297, ,         17.25,      7.710912, ,            17,      10.65636, ,         17.25,      3.718853, ,          14.5,      40.94726, ,         14.25,      53.98056, ,          14.5,      44.59042, ,          14.5,      37.40599, ,         14.25,      22.94536, ,          14.5,       20.3728, ,         14.75,      21.16505, ,          14.5,      20.83495, ,         16.75,      3.643582, ,         19.25,      3.495226, , , , ,          14.5,      20.21516, , , , ,          18.5,      4.209146, ,         15.75,      4.349303, ,         18.75,      2.864502, ,         16.25,      3.689231, , , , , 
, , , , , , , , , , , , , , , , , ,         18.25,       8.97956, , , , ,            16,      15.01224, ,         16.25,      12.40336, ,         14.75,      25.62095, ,         14.75,      25.62346, ,          14.5,      20.36471, ,          19.5,      8.492374, ,            16,      33.09163, , , , , , , , , , ,         15.75,      4.077457, , , , , , , , , , , , , , , , ,            20,      10.69592, ,          14.5,      52.04914, ,          15.5,      4.144959, ,         15.25,      19.12535, ,         16.75,      12.01158, ,          17.5,       7.48127, ,         17.25,      9.612442, ,          17.5,      3.660311, ,         14.75,      40.01033, ,          14.5,      51.24003, ,         14.75,       42.5819, ,         14.75,      35.00695, ,          14.5,      20.86009, ,         14.75,      19.63122, ,            15,      19.57573, ,         14.75,      19.37067, ,            17,      3.605542, ,          19.5,      3.473122, , , , ,         14.75,      18.67695, , , , ,         18.75,      4.109336, ,            16,      4.332823, ,            19,      2.855647, ,          16.5,      3.650623, , , , , 
, , , , , , , , , , , , , , , , , ,          18.5,      8.977263, , , , ,         16.25,      14.75883, ,          16.5,      12.35743, ,            15,      25.02508, ,            15,      25.02897, ,         14.75,      19.47691, ,         19.75,      8.414603, ,         16.25,      31.13611, , , , , , , , , , ,            16,      4.020015, , , , , , , , , , , , , , , , , , , ,         14.75,      48.56501, ,         15.75,      4.074628, ,          15.5,      16.73409, ,            17,      10.86959, ,         17.75,      7.845934, ,          17.5,      9.074948, ,         17.75,      3.595832, ,            15,      38.51595, ,         14.75,      48.07958, ,            15,      40.37972, ,            15,      32.78319, ,         14.75,       18.6386, ,            15,      18.89928, ,         15.25,       18.6985, ,            15,      18.15663, ,         17.25,      3.574361, ,         19.75,      3.454565, , , , ,            15,      17.24423, , , , ,            19,      4.022976, ,         16.25,      4.312313, ,         19.25,      2.848695, ,         16.75,      3.616162, , , , , 
, , , , , , , , , , , , , , , , , ,         18.75,      8.985231, , , , ,          16.5,      14.43722, ,         16.75,      12.28656, ,         15.25,      24.58759, ,         15.25,      24.59127, ,            15,      18.58096, ,            20,      8.338353, ,          16.5,      29.33718, , , , , , , , , , ,         16.25,      3.964663, , , , , , , , , , , , , , , , , , , ,            15,      44.36648, ,            16,      4.010677, ,         15.75,      14.78725, ,         17.25,      10.01118, ,            18,      7.565637, ,         17.75,       7.61215, ,            18,      3.547361, ,         15.25,      36.66653, ,            15,      46.77947, ,         15.25,      38.15587, ,         15.25,       30.0317, ,            15,       16.4332, ,         15.25,      18.12929, ,          15.5,      17.32776, ,         15.25,      16.93563, ,          17.5,      3.550059, ,            20,      3.438906, , , , ,         15.25,      15.92681, , , , ,         19.25,      3.946888, ,          16.5,      4.115599, ,          19.5,       2.84228, ,            17,      3.587079, , , , , 
, , , , , , , , , , , , , , , , , ,            19,      8.992899, , , , ,         16.75,      13.90251, ,            17,      11.79757, ,          15.5,      24.18071, ,          15.5,      24.18538, ,         15.25,      17.40272, , , , ,         16.75,      27.56763, , , , , , , , , , ,          16.5,      3.911204, , , , , , , , , , , , , , , , , , , ,         15.75,       31.4549, ,         16.25,      3.952017, ,            16,      13.19647, ,          17.5,      9.141732, ,         18.25,      7.292404, ,            18,      7.311267, ,         18.25,      3.517509, ,          15.5,      34.91632, ,         15.25,      44.93791, ,          15.5,      35.71363, ,          15.5,      26.79341, ,         15.25,      14.28501, ,          15.5,      17.10072, ,         15.75,      16.30568, ,          15.5,      15.89812, ,         17.75,      3.532988, , , , , , , ,          15.5,      14.69476, , , , ,          19.5,      3.879016, ,         16.75,      4.081482, ,         19.75,      2.835787, ,         17.25,      3.563989, , , , , 
, , , , , , , , , , , , , , , , , ,         19.25,      9.000216, , , , ,            17,      5.243796, ,         17.25,      8.847634, ,         15.75,      23.81392, ,         15.75,      23.81774, ,          15.5,      16.18909, , , , ,            17,      24.28245, , , , , , , , , , ,         16.75,      3.859516, , , , , , , , , , , , , , , , , , , ,            16,      28.64817, ,          16.5,      3.900136, ,         16.25,      11.84315, ,         17.75,      8.277397, ,          18.5,      7.005681, ,         18.25,      7.101156, ,          18.5,      3.492375, ,         15.75,      32.94722, ,          15.5,      42.84779, ,         15.75,      32.87727, ,         15.75,      23.44582, ,          15.5,      12.31835, ,         15.75,       16.3065, ,            16,      15.37056, ,         15.75,      14.93435, ,            18,      3.523391, , , , , , , ,         15.75,      13.51803, , , , ,         19.75,      3.817865, ,            17,      4.049569, ,            20,      2.828982, ,          17.5,      3.542451, , , , , 
, , , , , , , , , , , , , , , , , ,          19.5,      9.006706, , , , ,         17.25,      5.199549, ,          17.5,      8.838117, ,            16,      21.20195, ,         16.75,      16.00189, ,            16,      13.36352, , , , ,         17.25,      23.14746, , , , , , , , , , ,            17,      3.809447, , , , , , , , , , , , , , , , , , , ,         16.25,      26.43826, ,         16.75,      3.856853, ,          16.5,      10.50509, ,            18,      8.032652, ,         18.75,      6.720537, ,          18.5,      6.923325, ,         18.75,      3.471298, ,            16,      31.07002, ,         15.75,      40.27574, ,            16,      29.79036, ,         16.25,      16.25501, ,            16,       4.85867, ,            16,      15.59083, ,         16.25,      14.42736, ,            16,      13.96914, , , , , , , , , , ,            16,       12.4273, , , , ,            20,      3.762269, ,         17.25,      4.019799, , , , ,         17.75,      3.521046, , , , , 
, , , , , , , , , , , , , , , , , ,         19.75,      9.011377, , , , ,          17.5,      5.154962, ,         17.75,      8.829569, ,          17.5,      15.79559, ,         17.25,      15.86054, ,         16.25,      12.79428, , , , ,          17.5,      21.97237, , , , , , , , , , ,         17.25,      3.760834, , , , , , , , , , , , , , , , , , , ,          16.5,      24.18535, ,            17,      3.817358, ,         16.75,      9.409093, ,         18.25,      7.930631, ,            19,      6.544819, ,         18.75,      6.765049, ,            19,      3.454336, ,         16.25,      29.02061, ,            16,      37.41679, ,         16.25,      26.64047, ,          16.5,       13.4683, ,         16.25,      4.358285, ,         16.25,      14.84109, ,          16.5,      13.64063, ,         16.25,       13.1565, , , , , , , , , , ,         16.25,      11.42803, , , , , , , ,          17.5,      3.991927, , , , ,            18,        3.4998, , , , , 
, , , , , , , , , , , , , , , , , ,            20,      9.014079, , , , ,         17.75,      5.122563, ,            18,      8.802687, ,         17.75,      15.73884, ,          17.5,      15.79647, ,          16.5,      12.28262, , , , ,         17.75,      17.53953, , , , , , , , , , ,          17.5,      3.713527, , , , , , , , , , , , , , , , , , , ,         16.75,      21.97678, ,         17.25,      3.779502, ,            17,      8.217932, ,          18.5,      7.849056, ,         19.25,      6.399497, ,            19,      6.614485, ,         19.25,      3.441448, ,          16.5,      26.93285, ,         16.25,      34.80526, ,          16.5,      23.96822, ,         16.75,      11.44124, ,          16.5,      4.311656, ,          16.5,      13.84245, ,         16.75,      12.81606, ,          16.5,      12.31432, , , , , , , , , , ,          16.5,      10.51942, , , , , , , ,         17.75,      3.965787, , , , ,         18.25,      3.478189, , , , , 
, , , , , , , , , , , , , , , , , , , , , , , ,            18,      5.108251, ,         18.25,      8.548383, ,            18,      15.68717, ,         17.75,      15.73956, ,         16.75,      11.77414, , , , ,            18,      16.71752, , , , , , , , , , ,         17.75,      3.667383, , , , , , , , , , , , , , , , , , , ,            17,      19.85578, ,          17.5,      3.741553, ,         17.25,      7.775663, ,         18.75,      7.766658, ,          19.5,      6.272248, ,         19.25,      6.472218, ,          19.5,      3.432704, ,         16.75,      24.98915, ,          16.5,      32.53848, ,         16.75,      21.47009, ,            17,      10.40849, ,         16.75,      4.116598, ,         16.75,       13.3028, ,            17,      12.12006, ,         16.75,      11.60716, , , , , , , , , , ,         16.75,      9.651668, , , , , , , ,            18,      3.941274, , , , ,          18.5,      3.456569, , , , , 
, , , , , , , , , , , , , , , , , , , , , , , ,         18.25,      5.123384, ,          18.5,      8.873671, ,         18.25,      15.63888, ,            18,      15.68777, ,            17,      11.18703, , , , ,         18.25,      16.06607, , , , , , , , , , ,            18,      3.622271, , , , , , , , , , , , , , , , , , , ,         17.25,      17.94298, ,         17.75,      3.704124, ,          17.5,      7.390003, ,            19,      7.942424, ,         19.75,      6.159471, ,          19.5,      6.336144, ,         19.75,      3.428132, ,            17,      22.95779, ,         16.75,       30.4355, ,            17,      18.75218, ,         17.25,      9.613496, ,            17,      4.025873, ,            17,      12.83467, ,         17.25,      11.49383, ,            17,      10.93602, , , , , , , , , , ,            17,      8.825339, , , , , , , ,         18.25,      3.918373, , , , ,         18.75,      3.435236, , , , , 
, , , , , , , , , , , , , , , , , , , , , , , ,          18.5,      5.176773, ,         18.75,      8.883158, ,          18.5,      15.59235, ,         18.25,      15.63943, ,          18.5,      7.950577, , , , ,          18.5,      15.34522, , , , , , , , , , ,         18.25,      3.578069, , , , , , , , , , , , , , , , , , , ,          17.5,       16.2993, ,            18,       3.66833, ,         17.75,      7.013791, ,         19.25,      7.745113, ,            20,      6.053956, ,         19.75,      6.205219, , , , ,         17.25,      20.98479, ,            17,      27.96893, ,         17.25,       16.2121, ,          17.5,      8.759441, ,         17.25,      3.945938, ,         17.25,      12.38169, ,          17.5,      10.82333, ,         17.25,      10.25381, , , , , , , , , , ,         17.25,      8.033774, , , , , , , ,          18.5,      3.897137, , , , ,            19,      3.413938, , , , , 
, , , , , , , , , , , , , , , , , , , , , , , ,         18.75,      5.225865, ,            19,       8.89143, ,         18.75,       15.5413, ,          18.5,      15.59292, ,         18.75,      7.523878, , , , ,            19,      9.925208, , , , , , , , , , ,          18.5,      3.534662, , , , , , , , , , , , , , , , , , , ,         17.75,      14.88382, ,         18.25,      3.633075, ,            18,      6.569308, ,          19.5,      7.477254, , , , ,            20,      6.079633, , , , ,          17.5,       19.0252, ,         17.25,      25.49019, ,          17.5,      14.10483, ,         17.75,      8.218788, ,          17.5,      3.826637, ,          17.5,      11.91715, ,         17.75,      10.25227, ,          17.5,       9.67905, , , , , , , , , , ,          17.5,      7.243752, , , , , , , ,         18.75,      3.878086, , , , ,         19.25,      3.392799, , , , , 
, , , , , , , , , , , , , , , , , , , , , , , ,            19,      5.265327, ,         19.25,      8.895686, ,            19,      15.47689, ,         18.75,      15.54223, ,            19,      6.900241, , , , ,         19.25,      9.812249, , , , , , , , , , ,         18.75,      3.491948, , , , , , , , , , , , , , , , , , , ,            18,      13.72761, ,          18.5,      3.598902, ,         18.25,       5.96389, ,         19.75,      7.052964, , , , , , , , , , ,         17.75,      17.12517, ,          17.5,      23.01925, ,         17.75,      12.49137, ,            18,      7.768628, ,         17.75,      3.783144, ,         17.75,      11.40169, ,            18,      9.731783, ,         17.75,      9.081405, , , , , , , , , , ,         17.75,      6.316913, , , , , , , ,            19,      3.870048, , , , ,          19.5,      3.371838, , , , , 
, , , , , , , , , , , , , , , , , , , , , , , ,         19.25,      5.301363, ,         19.75,      8.671537, ,         19.25,      15.40972, ,            19,      15.47879, ,         19.25,      6.361908, , , , ,          19.5,       9.68738, , , , , , , , , , ,            19,      3.449822, , , , , , , , , , , , , , , , , , , ,         18.25,      12.82026, ,         18.75,      3.565881, ,         18.75,      3.608449, ,            20,      6.658555, , , , , , , , , , ,            18,       15.2913, ,         17.75,       20.4923, ,            18,      11.33019, ,         18.25,      7.313342, ,            18,      3.763444, ,            18,      10.72054, ,         18.25,      9.167528, ,            18,      8.563053, , , , , , , , , , ,            18,      5.045076, , , , , , , ,         19.25,      3.872443, , , , ,         19.75,      3.351062, , , , , 
, , , , , , , , , , , , , , , , , , , , , , , ,          19.5,      5.336934, ,            20,      8.681297, ,          19.5,      15.31501, ,         19.25,      15.41318, ,          19.5,      5.692365, , , , ,         19.75,      9.430709, , , , , , , , , , ,         19.25,      3.408201, , , , , , , , , , , , , , , , , , , ,          18.5,      12.10112, ,            19,      3.534032, ,            19,      3.557273, , , , , , , , , , , , , ,         18.25,      13.50874, ,            18,      18.12434, ,         18.25,      10.09358, ,          18.5,      6.845538, ,         18.25,      3.769924, ,         18.25,      10.17598, ,          18.5,      8.680873, ,         18.25,      8.040307, , , , , , , , , , ,         18.25,      4.720241, , , , , , , ,          19.5,      3.880092, , , , ,            20,      3.330479, , , , , 
, , , , , , , , , , , , , , , , , , , , , , , ,         19.75,      3.780449, , , , ,         19.75,       14.8096, ,          19.5,      15.32495, ,         19.75,       3.40564, , , , ,            20,      9.148174, , , , , , , , , , ,          19.5,      3.366991, , , , , , , , , , , , , , , , , , , ,         18.75,      11.35677, ,         19.25,       3.50335, ,         19.25,      3.507026, , , , , , , , , , , , , ,          18.5,      11.82996, ,         18.25,       15.9241, ,          18.5,      9.465156, ,         18.75,      6.525863, ,          18.5,      3.781108, ,          18.5,      9.545833, ,         18.75,       8.19876, ,          18.5,      7.568074, , , , , , , , , , ,          18.5,      4.554517, , , , , , , ,         19.75,      3.918172, , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , ,            20,      3.780633, , , , ,            20,      11.17653, ,         19.75,      14.92759, ,            20,      3.339058, , , , , , , , , , , , , , , , ,         19.75,      3.326104, , , , , , , , , , , , , , , , , , , ,            19,      10.80787, ,          19.5,      3.473705, ,          19.5,      3.459129, , , , , , , , , , , , , ,         18.75,      10.08039, ,          18.5,      13.96136, ,         18.75,      8.966611, ,            19,      6.228218, ,         18.75,      3.694117, ,         18.75,      8.996236, ,            19,      7.738516, ,         18.75,      7.110645, , , , , , , , , , ,         18.75,      4.443619, , , , , , , ,            20,      3.931747, , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,            20,      11.18286, , , , , , , , , , , , , , , , , , , ,            20,      3.285453, , , , , , , , , , , , , , , , , , , ,         19.25,      10.23134, ,         19.75,      3.444539, ,         19.75,       3.41357, , , , , , , , , , , , , ,         19.25,      5.138341, ,         18.75,      12.20413, ,            19,      8.524964, ,         19.25,      5.894308, ,            19,      3.600885, ,            19,      8.441704, ,         19.25,      7.293473, ,            19,      6.667299, , , , , , , , , , ,            19,       4.34439, , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,          19.5,      9.840015, ,            20,      3.415271, ,            20,      3.370132, , , , , , , , , , , , , ,          19.5,      4.662902, ,            19,      11.09813, ,         19.25,      7.920562, ,          19.5,      5.685918, ,         19.25,      3.576618, ,         19.25,      8.054267, ,          19.5,      6.880153, ,         19.25,      6.247649, , , , , , , , , , ,         19.25,      4.242915, , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,         19.75,      9.448616, , , , , , , , , , , , , , , , , , , ,         19.75,        4.2772, ,         19.25,      9.653062, ,          19.5,      7.521764, ,         19.75,      5.349342, ,          19.5,      3.591893, ,          19.5,      7.667106, ,         19.75,       6.46833, , , , , , , , , , , , , ,          19.5,      4.124236, , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,            20,      9.069579, , , , , , , , , , , , , , , , , , , , , , ,          19.5,      9.122347, ,         19.75,      7.232841, ,            20,      4.940173, ,         19.75,      3.555536, ,         19.75,      7.182202, ,            20,      6.077779, , , , , , , , , , , , , ,         19.75,      4.001612, , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,         19.75,      8.695236, ,            20,      6.977561, , , , ,            20,      3.454364, ,            20,      6.843933, , , , , , , , , , , , , , , , ,            20,      3.884786, , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,            20,      8.286805, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 

